,session,subject,parent_adj_nps,child_adj_nps,parent_indef_def_adj_nps
30,4,22,a somersault,,a somersault
51,4,22,the somersault,,the somersault
53,4,22,the somersault,,the somersault
61,4,22,the rug,,the rug
62,4,22,the floor,,the floor
67,4,22,the books,,the books
97,4,22,the spider,,the spider
102,4,22,a cat,,a cat
104,4,22,the snail,,the snail
106,4,22,the spider,,the spider
108,4,22,the danger,,the danger
112,4,22,the birdie,,the birdie
122,4,22,a worm,,a worm
123,4,22,a worm,,a worm
129,4,22,the dragonflies,,the dragonflies
131,4,22,a fishie,,a fishie
139,4,22,a frog,,a frog
149,4,22,a Cat,,a Cat
153,4,22,the caterpillar,,the caterpillar
156,4,22,a tree,,a tree
158,4,22,the day,,the day
164,4,22,the sidewalk,,the sidewalk
177,4,22,the beetle,,the beetle
196,4,22,a web,,a web
205,4,22,a spider,,a spider
213,4,22,the spider,,the spider
215,4,22,the Itsy_Bitsy_Spider,,the Itsy_Bitsy_Spider
230,4,22,the spider,,the spider
240,4,22,the water,,the water
246,4,22,the spider,,the spider
248,4,22,the song,,the song
316,4,22,the spider,,the spider
319,4,22,the rest,,the rest
321,4,22,the spider,,the spider
323,4,22,the spider,,the spider
332,4,22,the spider,,the spider
353,4,22,the spider,,the spider
354,4,22,the beetle,,the beetle
367,4,22,the book,,the book
374,4,22,the kangaroo,,the kangaroo
398,4,22,a mosquito,,a mosquito
399,4,22,a mosquito,,a mosquito
401,4,22,a mosquito,,a mosquito
408,4,22,the baby,,the baby
421,4,22,a kanga,,a kanga
428,4,22,a kangaroo,,a kangaroo
444,4,22,a kangaroo,,a kangaroo
445,4,22,a country,,a country
453,4,22,a forest,,a forest
457,4,22,a bear,,a bear
459,4,22,a forest,,a forest
478,4,22,the couch,,the couch
520,4,22,a bear,,a bear
544,4,22,a bear,,a bear
548,4,22,a baby,,a baby
554,4,22,a river,,a river
560,4,22,the mud,,the mud
561,4,22,a river,,a river
573,4,22,a bear,,a bear
610,4,22,a forest,,a forest
628,4,22,a snow+storm,,a snow+storm
631,4,22,a snow+storm,,a snow+storm
632,4,22,a snow+storm,,a snow+storm
650,4,22,a bear,,a bear
652,4,22,a cave,,a cave
654,4,22,a one,,a one
659,4,22,a cave,,a cave
660,4,22,a cave,,a cave
679,4,22,a bear,,a bear
680,4,22,the gate,,the gate
681,4,22,the snow+storm,,the snow+storm
682,4,22,the forest,,the forest
683,4,22,the mud,,the mud
684,4,22,the river,,the river
685,4,22,the grass,,the grass
686,4,22,the door,,the door
688,4,22,the door,,the door
691,4,22,the bear,,the bear
692,4,22,the covers,,the covers
693,4,22,a bear,,a bear
695,4,22,the covers,,the covers
703,4,22,the covers,,the covers
707,4,22,a doggie,,a doggie
709,4,22,the bear,,the bear
712,4,22,the bear,,the bear
721,4,22,a lot,,a lot
731,4,22,the doggie,,the doggie
733,4,22,the daddy,,the daddy
769,4,22,a lot,,a lot
777,4,22,the forest,,the forest
802,4,22,the kids,,the kids
806,4,22,the cave,,the cave
809,4,22,the cave,,the cave
812,4,22,the cave,,the cave
819,4,22,the cave,,the cave
822,4,22,a bear,,a bear
828,4,22,a bear,,a bear
853,4,22,the #,,the #
855,4,22,the snow,,the snow
856,4,22,the forest,,the forest
857,4,22,the mud,,the mud
858,4,22,the river,,the river
859,4,22,the grass,,the grass
870,4,22,a bear,,a bear
922,4,22,the wind,,the wind
934,4,22,the shelf,,the shelf
937,4,22,the shelf,,the shelf
938,4,22,the box,,the box
947,4,22,the box,,the box
950,4,22,the shelf,,the shelf
965,4,22,a piece,,a piece
971,4,22,the pieces,,the pieces
988,4,22,the spot,,the spot
999,4,22,a puzzle,,a puzzle
1018,4,22,the train,,the train
1031,4,22,the pieces,,the pieces
1041,4,22,the shape,,the shape
1050,4,22,the shape,,the shape
1066,4,22,the puzzle,,the puzzle
1084,4,22,the word,,the word
1115,4,22,the tadums,,the tadums
1126,4,22,a lawn+mower,,a lawn+mower
1132,4,22,the grass,,the grass
1134,4,22,a grass,,a grass
1158,4,22,a lot,,a lot
1171,4,22,the puzzle,,the puzzle
1221,4,22,a second,,a second
1224,4,22,a pillow,,a pillow
1236,4,22,the one,,the one
1249,4,22,the monster,,the monster
1251,4,22,a monster,,a monster
1253,4,22,the monster,,the monster
1258,4,22,a ketchup,,a ketchup
1299,4,22,the puzzle,,the puzzle
1301,4,22,the shelf,,the shelf
1309,4,22,the top,,the top
1321,4,22,the box,,the box
1337,4,22,the shelf,,the shelf
1354,4,22,a fire+man,,a fire+man
1372,4,22,a fire+man,,a fire+man
1374,4,22,the fire,,the fire
1389,4,22,a fire,,a fire
1396,4,22,a fire+truck,,a fire+truck
1398,4,22,a fire+truck,,a fire+truck
1403,4,22,the wall,,the wall
1408,4,22,the fire+truck,,the fire+truck
1411,4,22,a hat,,a hat
1452,4,22,the way,,the way
1466,4,22,the party,,the party
1496,4,22,the frog,,the frog
1497,4,22,the beetle,,the beetle
1512,4,22,a day,,a day
1536,4,22,the party,,the party
1551,4,22,the ball,,the ball
1555,4,22,the ball,,the ball
1557,4,22,the ball,,the ball
1562,4,22,a game,,a game
1598,4,22,the shelves,,the shelves
1601,4,22,a game,,a game
1604,4,22,the ball,,the ball
1610,4,22,a show+off,,a show+off
1611,4,22,a show+off,,a show+off
1665,4,22,a leaf,,a leaf
1674,4,22,a leaf,,a leaf
1696,4,22,the air,,the air
1698,4,22,the air,,the air
1734,4,22,the air,,the air
1757,4,22,the pillow,,the pillow
1761,4,22,the pillow,,the pillow
1800,4,22,a doggie,,a doggie
1824,4,22,the baby,,the baby
1830,4,22,a baby,,a baby
1896,4,22,a girl,,a girl
1939,4,22,a fixer,,a fixer
1955,4,22,the way,,the way
1963,4,22,the pizza,,the pizza
